,Date,symbol,signal,atr,prev_high,prev_low,prev_close
0,2016-04-22,SPY,-1.0,1.84,210.25,208.649994,208.970001
1,2016-04-22,QQQ,0.0,1.27,111.050003,110.150002,110.650002
2,2016-04-22,IWM,0.0,1.48,113.91999799999999,112.660004,112.989998
3,2016-04-22,EEM,-1.0,0.52,35.009998,34.68,34.75
4,2016-04-22,AAPL,-1.0,1.94,106.93,105.519997,105.970001
5,2016-04-22,IBM,1.0,3.06,150.119995,146.46000700000005,149.300003
6,2016-04-22,FB,1.0,2.39,114.040001,112.309998,113.440002
7,2016-04-22,GOOG,1.0,11.11,760.450012,749.549988,759.1400150000002
8,2016-04-22,AMZN,-1.0,12.28,637.820007,628.5,631.0
9,2016-04-22,GS,-1.0,4.02,168.899994,165.009995,165.320007
10,2016-04-22,INTC,0.0,0.53,32.060001,31.809999,31.969999
11,2016-04-22,DVA,-1.0,0.98,75.089996,74.110001,74.449997
12,2016-04-22,NOAH,-1.0,1.12,25.83,25.0,25.35
13,2016-04-22,LC,2.0,0.49,7.98,7.41,7.74
14,2016-04-22,RENN,-1.0,0.10,3.31,3.25,3.27
15,2016-04-22,TSLA,-1.0,9.82,250.899994,246.910004,248.289993
16,2016-04-22,HOG,1.0,1.72,48.060001,46.34,48.029999
