Date,Open,High,Low,Close,Volume,Adj Close,Dividends,symbol
2016-03-01,195.009995,198.21000700000002,194.449997,198.110001,141799700,197.09346200000002,0.0,SPY
2016-03-02,197.740005,199.059998,197.25,199.0,102415000,197.978894,0.0,SPY
2016-03-03,198.78999299999998,199.800003,198.110001,199.779999,95172200,198.754891,0.0,SPY
2016-03-04,200.009995,201.350006,199.029999,200.429993,129293600,199.401549,0.0,SPY
2016-03-07,199.33999599999999,201.070007,199.25,200.58999599999999,100219000,199.560732,0.0,SPY
2016-03-08,199.320007,199.919998,198.21000700000002,198.399994,123974900,197.381967,0.0,SPY
2016-03-09,199.360001,199.78999299999998,198.429993,199.380005,94801200,198.356949,0.0,SPY
2016-03-10,199.96000700000002,201.070007,197.380005,199.53999299999998,156838700,198.51611699999998,0.0,SPY
2016-03-11,201.259995,202.809998,199.520004,202.759995,137964500,201.719595,0.0,SPY
2016-03-14,202.16000400000001,203.03999299999998,201.770004,202.5,73612000,201.460935,0.0,SPY
2016-03-15,201.360001,202.529999,201.050003,202.169998,93169100,201.132626,0.0,SPY
2016-03-16,201.600006,203.820007,201.550003,203.33999599999999,129303200,202.296621,0.0,SPY
2016-03-17,203.240005,205.229996,202.770004,204.630005,134278500,203.58001000000002,0.0,SPY
2016-03-18,204.169998,204.779999,203.800003,204.380005,138372400,204.380005,1.05,SPY
2016-03-21,204.070007,204.940002,203.800003,204.669998,72926700,204.669998,0.0,SPY
2016-03-22,203.759995,205.229996,203.570007,204.559998,97471900,204.559998,0.0,SPY
2016-03-23,204.110001,204.330002,203.009995,203.21000700000002,81052500,203.21000700000002,0.0,SPY
2016-03-24,202.0,203.16000400000001,201.740005,203.119995,84360900,203.119995,0.0,SPY
2016-03-28,203.610001,203.860001,202.71000700000002,203.240005,62408200,203.240005,0.0,SPY
2016-03-29,202.759995,205.25,202.399994,205.119995,90418600,205.119995,0.0,SPY
2016-03-30,206.300003,206.869995,205.58999599999999,206.020004,82354400,206.020004,0.0,SPY
2016-03-31,205.91000400000001,206.41000400000001,205.330002,205.520004,87315600,205.520004,0.0,SPY
2016-04-01,204.350006,207.139999,203.979996,206.919998,110080400,206.919998,0.0,SPY
2016-04-04,206.830002,207.070007,205.889999,206.25,62658900,206.25,0.0,SPY
2016-04-05,204.669998,206.259995,203.889999,204.190002,89387200,204.190002,0.0,SPY
2016-04-06,204.190002,206.490005,203.979996,206.419998,89889800,206.419998,0.0,SPY
2016-04-07,206.419998,206.419998,203.08999599999999,203.949997,109295100,203.949997,0.0,SPY
2016-04-08,205.33999599999999,205.850006,203.869995,204.5,92431200,204.5,0.0,SPY
2016-04-11,205.25,206.070007,203.91000400000001,204.020004,80719200,204.020004,0.0,SPY
2016-04-12,204.220001,206.25,203.699997,205.919998,110162100,205.919998,0.0,SPY
2016-04-13,207.0,208.100006,206.83999599999999,208.0,92452500,208.0,0.0,SPY
2016-04-14,208.070007,208.600006,207.600006,208.009995,60422700,208.009995,0.0,SPY
2016-04-15,208.009995,208.169998,207.399994,207.779999,73521600,207.779999,0.0,SPY
2016-04-18,207.779999,209.279999,207.0,209.240005,75277700,209.240005,0.0,SPY
2016-04-19,209.74000499999997,210.19999700000002,208.940002,209.899994,85426300,209.899994,0.0,SPY
2016-04-20,209.94999700000002,210.919998,209.389999,210.100006,74193000,210.100006,0.0,SPY
2016-04-21,210.11999500000002,210.25,208.649994,208.970001,78195500,208.970001,0.0,SPY
2016-04-22,208.550003,209.28999299999998,207.91000400000001,208.970001,90936000,208.970001,0.0,SPY
2016-04-25,208.259995,208.66000400000001,207.53999299999998,208.610001,61251800,208.610001,0.0,SPY
2016-04-26,209.03999299999998,209.520004,208.360001,208.919998,72386200,208.919998,0.0,SPY
2016-04-27,208.470001,209.809998,208.050003,209.350006,72940400,209.350006,0.0,SPY
2016-04-28,208.46000700000002,209.75999500000003,206.96000700000002,207.449997,92734800,207.449997,0.0,SPY
2016-04-29,206.720001,207.130005,205.029999,206.330002,133314400,206.330002,0.0,SPY
2016-05-02,206.919998,208.179993,206.41000400000001,207.970001,60877500,207.970001,0.0,SPY
2016-05-03,206.520004,206.800003,205.279999,206.16000400000001,101267500,206.16000400000001,0.0,SPY
2016-05-04,204.990005,205.850006,204.419998,205.009995,88385200,205.009995,0.0,SPY
2016-05-05,205.559998,205.979996,204.470001,204.970001,65635100,204.970001,0.0,SPY
2016-05-06,204.059998,205.770004,203.880005,205.720001,83784900,205.720001,0.0,SPY
