Date,symbol,signal,prev_high,prev_low,prev_close,atr,prob_hh,prob_hl
2015-05-07,WMT,2.0,77.630003,76.67999799999998,77.160002,1.0499186742441968,0.46285714285714286,0.6228571428571429
2015-05-08,WMT,-1.0,78.339996,77.300003,78.029999,1.0759265068197768,0.1657142857142857,0.2
2015-05-11,WMT,1.0,79.25,78.400002,78.529999,1.0573345561377987,0.5457142857142857,0.54
2015-05-12,WMT,1.0,78.610001,78.029999,78.099998,1.0226010005240185,0.8314285714285714,0.7371428571428571
2015-05-13,WMT,1.0,79.480003,77.870003,78.959999,1.0293413004716174,0.7,0.6857142857142857
2015-05-14,WMT,-1.0,79.43,77.980003,78.160004,1.0384073704244572,0.12857142857142856,0.14285714285714285
2015-05-15,WMT,1.0,78.769997,78.019997,78.720001,1.030566533382014,0.58,0.5085714285714286
2015-05-18,WMT,1.0,79.25,78.57,79.239998,1.031509180043812,0.7771428571428571,0.7628571428571429
2015-05-19,WMT,-1.0,79.940002,79.160004,79.91999799999998,1.0503583620394306,0.36857142857142855,0.23714285714285716
2015-05-20,WMT,0.0,78.360001,76.230003,76.43,1.0033227258354869,0.5228571428571429,0.17142857142857143
2015-05-21,WMT,2.0,76.5,75.83000200000002,75.900002,1.0639904532519382,0.4942857142857143,0.8342857142857143
2015-05-22,WMT,-1.0,76.41999799999998,75.559998,76.110001,1.1025911079267454,0.12857142857142856,0.28285714285714286
2015-05-25,WMT,1.0,76.379997,75.860001,75.860001,1.067331997134071,0.8371428571428572,0.6742857142857143
2015-05-26,WMT,1.0,,,,1.0285987974206645,0.7971428571428572,0.5885714285714285
2015-05-27,WMT,1.0,75.83000200000002,74.82,74.900002,1.0037387176785988,0.6628571428571428,0.7085714285714285
2015-05-28,WMT,-1.0,75.510002,75.0,75.190002,1.2723643459107372,0.12857142857142856,0.2342857142857143
2015-05-29,WMT,-1.0,75.160004,74.650002,74.839996,1.2121277113196613,0.4514285714285714,0.38571428571428573
2015-06-01,WMT,1.0,74.879997,74.150002,74.269997,1.1769149401876937,0.6714285714285714,0.5457142857142857
2015-06-02,WMT,0.0,75.08000200000002,74.410004,74.730003,1.111223046168925,0.5285714285714286,0.26
2015-06-04,WMT,-1.0,75.199997,74.470001,74.889999,1.1041008415520328,0.26,0.2742857142857143
2015-06-05,WMT,0.0,74.980003,73.949997,74.150002,1.0546907573968294,0.58,0.38571428571428573
2015-06-08,WMT,0.0,74.269997,72.980003,73.059998,1.003221681657147,0.6171428571428571,0.3742857142857143
2015-06-09,WMT,-1.0,73.489998,72.599998,72.610001,0.9758990134914326,0.44285714285714284,0.3
2015-06-10,WMT,0.0,72.849998,72.360001,72.470001,0.9593096121422912,0.7085714285714285,0.49714285714285716
2015-06-11,WMT,0.0,73.33000200000002,72.339996,72.93,0.9213788509280642,0.7228571428571429,0.2857142857142857
2015-06-12,WMT,1.0,73.66999799999998,72.839996,72.940002,0.9022405658352577,0.6828571428571428,0.54
2015-06-15,WMT,-1.0,72.900002,72.400002,72.43,0.9150171092517319,0.31142857142857144,0.4142857142857143
2015-06-16,WMT,-1.0,72.400002,71.699997,71.93,0.9525147983265594,0.24,0.2885714285714286
2015-06-17,WMT,-1.0,72.58000200000002,71.720001,72.349998,0.9462633184939035,0.44,0.2885714285714286
2015-06-18,WMT,0.0,72.900002,72.339996,72.730003,0.9006366866445135,0.6428571428571429,0.2914285714285714
2015-06-19,WMT,1.0,73.480003,72.739998,72.980003,0.9095736179800644,0.6285714285714286,0.5714285714285714
2015-06-22,WMT,-1.0,73.220001,72.699997,72.739998,0.901616456182056,0.2742857142857143,0.2571428571428571
2015-06-23,WMT,0.0,73.190002,72.690002,72.790001,0.865454810563851,0.5885714285714285,0.20857142857142857
2015-06-24,WMT,0.0,72.940002,72.339996,72.57,0.851909629507467,0.6628571428571428,0.4714285714285714
2015-06-25,WMT,1.0,72.650002,72.139999,72.379997,0.8527187665567227,0.6914285714285714,0.6342857142857142
2015-06-26,WMT,1.0,72.629997,71.83000200000002,71.860001,0.8234474899010505,0.7371428571428571,0.5828571428571429
2015-06-29,WMT,0.0,72.459999,71.870003,72.120003,0.8161027409109455,0.5257142857142857,0.3742857142857143
2015-06-30,WMT,-1.0,72.0,71.410004,71.41999799999998,0.786492866819851,0.4942857142857143,0.24857142857142858
2015-07-01,WMT,0.0,71.809998,70.779999,70.93,0.7578435801378658,0.5,0.3657142857142857
2015-07-02,WMT,1.0,71.949997,70.360001,71.879997,0.74205982212408,0.6428571428571429,0.5714285714285714
2015-07-03,WMT,1.0,72.559998,71.660004,71.860001,0.7188541399116717,0.5742857142857143,0.5342857142857143
2015-07-06,WMT,-1.0,,,,0.7269682259205027,0.2571428571428571,0.21428571428571427
2015-07-07,WMT,0.0,72.690002,71.379997,72.529999,0.7142712033284524,0.62,0.4257142857142857
2015-07-08,WMT,-1.0,73.860001,72.0,73.790001,0.7138439829956068,0.43714285714285717,0.26
2015-07-09,WMT,-1.0,73.589996,72.900002,73.059998,0.7454594846960451,0.21714285714285714,0.2885714285714286
2015-07-10,WMT,1.0,73.730003,72.709999,72.779999,0.8299131362264405,0.8171428571428572,0.8085714285714286
2015-07-13,WMT,-1.0,73.550003,73.08000200000002,73.120003,0.8369212226037955,0.3914285714285714,0.32
2015-07-15,WMT,1.0,74.089996,73.480003,73.790001,0.8842296003434165,0.8028571428571428,0.8714285714285714
2015-07-16,WMT,1.0,73.900002,73.190002,73.650002,0.9818067403090744,0.7542857142857143,0.8085714285714286
2015-07-17,WMT,-1.0,74.139999,73.760002,73.83000200000002,0.9726259662781673,0.38285714285714284,0.26285714285714284
2015-07-20,WMT,-1.0,74.07,73.309998,73.389999,0.9773637696503507,0.2571428571428571,0.2914285714285714
