,Date,symbol,support,sup_count,resistance,res_count
109,2016-04-26,KORS,54.17,14.0,0.0,0.0
110,2016-04-26,MCHP,49.35,11.0,0.0,0.0
111,2016-04-26,TAP,95.39,12.0,0.0,0.0
112,2016-04-26,MDLZ,42.73,24.0,44.68,6.0
113,2016-04-26,MNST,0.0,0.0,125.95,11.0
114,2016-04-26,MOS,27.85,13.0,30.13,8.0
115,2016-04-26,MSI,75.5,15.0,0.0,0.0
116,2016-04-26,NDAQ,59.41,5.0,64.48,16.0
117,2016-04-26,NTAP,0.0,0.0,25.16,15.0
118,2016-04-26,NWL,44.08,14.0,44.99,5.0
119,2016-04-26,NWSA,0.0,0.0,12.69,12.0
120,2016-04-26,NEE,115.79,17.0,0.0,0.0
121,2016-04-26,NI,21.42,5.0,22.74,10.0
122,2016-04-26,JWN,52.91,11.0,0.0,0.0
123,2016-04-26,NVDA,36.37,10.0,0.0,0.0
124,2016-04-26,ORLY,271.71,17.0,0.0,0.0
125,2016-04-26,ORCL,40.76,13.0,0.0,0.0
126,2016-04-26,PDCO,43.43,9.0,44.68,11.0
127,2016-04-26,PAYX,52.61,16.0,54.34,11.0
128,2016-04-26,PKI,50.83,13.0,0.0,0.0
129,2016-04-26,PFE,32.73,10.0,0.0,0.0
130,2016-04-26,PCG,57.53,5.0,58.18,13.0
131,2016-04-26,PBI,21.35,23.0,0.0,0.0
132,2016-04-26,RL,0.0,0.0,94.98,11.0
133,2016-04-26,PPG,112.77,10.0,0.0,0.0
134,2016-04-26,PCLN,1318.75,21.0,0.0,0.0
135,2016-04-26,PEG,45.89,13.0,47.29,6.0
136,2016-04-26,PSA,0.0,0.0,255.23,14.0
137,2016-04-26,QCOM,51.91,21.0,0.0,0.0
138,2016-04-26,O,57.81,5.0,60.79,14.0
139,2016-04-26,RHT,0.0,0.0,74.88,13.0
140,2016-04-26,REGN,359.83,5.0,396.92,23.0
141,2016-04-26,ROK,114.71,11.0,0.0,0.0
142,2016-04-26,ROP,175.91,8.0,179.88,11.0
143,2016-04-26,ROST,57.45,17.0,59.09,5.0
144,2016-04-26,RCL,0.0,0.0,78.3,15.0
145,2016-04-26,CRM,73.55,9.0,77.53,26.0
146,2016-04-26,SNDK,73.79,6.0,76.1,33.0
